Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Fire_Points,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Wilderness_Area,Soil_Type,Cover_Type
1865,91,15,127.5,30.9,-2086.8,-1101.3,92,52,214,2,0,4
2381,153,16,166.1,37.3,-1037.8,803.7,134,131,226,0,6,2
2637,24,29,-133.5,26.8,1270.0,-759.0,18,221,88,3,3,6
2395,233,13,-199.9,-13.6,-181.3,-398.2,88,212,223,2,1,4
3541,171,16,-57.0,26.4,39.3,591.2,209,97,227,0,0,1
2315,55,35,-286.6,24.3,-83.8,-135.2,66,208,36,3,4,2
2429,9,44,285.7,74.2,288.6,-296.6,105,18,42,3,0,2
2894,11,34,-80.4,15.9,-1785.0,143.9,107,139,23,1,2,2
3226,209,10,113.8,-19.0,709.7,-1027.2,161,5,82,3,2,7
2598,56,6,232.9,-37.6,-665.7,-536.8,214,236,66,1,4,2
2799,82,9,-155.3,-62.7,-396.3,-1487.1,252,48,129,2,3,2
2010,231,15,-173.8,78.8,-1832.6,-586.1,54,177,12,0,0,2
2123,270,35,112.1,15.2,1403.8,-289.1,172,117,58,1,0,2
2648,168,25,-432.3,42.6,-1011.8,-915.0,4,36,136,1,5,2
2841,346,17,247.7,-68.4,3020.0,-562.9,31,65,229,3,6,6
2755,251,26,113.8,-42.9,936.9,1328.2,14,77,143,1,3,2
2744,112,10,-299.8,24.3,-855.9,-112.4,217,77,9,3,4,6
2863,310,43,15.0,125.8,-3465.6,-1193.4,1,102,138,3,1,2
2516,40,16,101.8,50.5,-1090.1,-476.0,231,137,236,3,1,2
2397,81,8,56.6,43.3,-2091.0,-1854.1,54,18,39,0,3,5
2428,55,26,136.7,-44.9,2105.3,-229.8,40,82,198,0,0,2
2005,42,29,-96.6,60.4,690.8,575.1,158,163,166,1,6,2
2258,267,20,303.2,-7.1,-1410.1,-687.9,155,73,194,1,6,2
2217,341,44,92.9,21.4,-939.8,-1434.6,251,70,202,2,4,2
2790,264,18,-144.6,-93.8,-2040.3,-1666.9,0,56,127,1,0,2
3549,214,37,-138.7,7.9,2395.8,501.5,5,21,134,2,4,1
2860,283,24,12.2,44.9,2032.7,381.7,40,168,142,1,5,2
3373,111,1,-361.4,-15.0,876.5,-247.1,19,53,55,3,5,7
2209,224,7,-180.3,24.9,-607.4,-475.6,114,190,89,0,5,2
2399,40,0,80.9,-5.3,2074.6,208.6,242,231,144,2,5,2
2502,26,0,111.4,28.4,-1497.2,837.6,92,253,172,1,3,2
3053,306,1,-141.5,1.6,-6.8,1513.2,136,88,45,3,6,1
3402,18,1,-45.2,18.3,425.4,-22.8,145,48,111,3,3,7
2966,31,7,-300.2,-21.5,-1796.1,-1033.4,140,193,220,0,4,2
2775,80,30,84.2,-11.8,547.7,578.5,39,160,66,0,1,2
2675,187,21,239.4,25.2,806.0,-183.3,36,124,142,0,3,2
2359,271,7,-168.7,-32.9,630.6,-77.3,17,80,241,2,5,2
2799,196,36,-423.9,-26.1,1085.9,234.9,90,183,8,1,6,2
2779,357,31,-35.3,0.8,267.2,-278.0,104,82,247,0,0,2
2611,0,17,-229.2,36.3,1675.3,195.4,217,106,145,2,4,2
2250,341,4,-187.3,-5.6,-149.7,889.6,74,27,9,3,3,2
2652,110,5,-31.8,55.9,3418.9,1285.4,16,57,127,0,1,5
2549,50,4,313.6,-50.5,780.0,862.1,115,32,128,1,3,2
2270,252,19,519.3,-36.3,-1788.2,-1134.7,254,202,43,3,2,6
3075,353,4,135.4,55.9,578.9,-256.7,27,71,47,2,3,1
2559,152,32,197.7,-5.6,-527.7,-87.3,140,26,13,1,2,2
2844,2,38,-165.0,27.4,-4092.8,-795.9,44,185,193,2,1,4
2132,239,33,-290.9,-78.6,-303.5,-165.8,145,74,186,2,3,2
2419,228,7,70.2,90.7,-1630.8,-859.4,85,245,42,0,0,2
2297,139,13,382.7,-65.9,3401.1,522.2,65,149,3,1,2,2
2157,159,25,-232.4,-61.7,-1272.2,1125.0,30,135,76,0,5,2
2641,247,3,233.1,-27.7,856.5,1647.0,241,47,198,1,0,2
2498,228,26,62.3,-18.3,150.3,955.5,117,220,174,3,4,2
2103,241,25,195.2,81.3,491.6,398.7,150,57,155,3,0,2
2326,191,40,43.9,7.1,609.1,-66.2,50,120,135,3,0,2
2613,249,28,-32.1,1.4,-672.6,-1218.7,218,53,67,1,1,2
2578,54,17,-449.2,66.6,313.7,1160.4,94,121,60,0,6,2
3346,222,18,-408.1,41.0,-621.7,1644.4,56,132,4,1,6,1
1658,78,7,-34.5,-5.8,1342.2,-786.5,192,203,46,2,3,5
2952,271,43,464.1,15.4,-338.3,-1375.0,95,183,37,1,4,2
2896,99,6,272.3,99.2,-2015.9,134.0,181,207,127,0,6,2
2786,85,1,-227.3,-61.5,43.2,648.8,116,31,171,2,4,2
2306,49,26,32.8,-18.2,267.9,-464.2,224,101,209,1,6,2
2302,313,35,-142.1,-13.5,1657.9,-1691.6,69,79,21,0,4,2
1804,142,10,-278.5,-46.4,-903.0,98.6,156,127,118,2,2,3
2788,177,0,234.6,43.5,34.3,-1497.2,187,77,241,0,0,2
2364,170,29,49.3,-30.7,1464.4,343.1,115,198,241,0,5,2
2368,142,30,3.9,8.0,66.7,-690.2,13,188,205,1,3,6
3260,323,25,-12.6,30.5,120.4,-1331.0,37,246,186,0,5,6
2208,14,9,-9.4,-17.4,-1571.5,716.0,17,22,0,0,6,5
2577,190,32,7.0,-22.2,1912.6,-1015.5,0,79,178,2,5,2
2859,344,12,-29.2,49.0,-3156.6,516.8,90,62,193,0,3,2
2556,216,18,8.2,-44.0,-3078.6,861.1,182,113,219,0,5,2
2768,184,41,63.2,-71.3,2571.2,-527.7,240,177,197,3,5,2
2706,52,40,-72.9,-17.1,-750.3,-118.6,93,203,40,1,5,2
2714,298,31,-142.3,10.5,-1124.5,-1611.4,170,165,70,1,5,2
2115,11,3,65.7,-2.0,-173.5,-77.6,154,83,208,1,4,5
2102,258,34,-98.0,-43.7,-949.2,-471.5,6,54,50,1,1,2
3050,133,8,-84.8,82.2,-3444.8,995.2,55,250,222,0,5,1
2815,104,11,-250.0,-11.9,-476.1,-112.4,120,38,152,1,2,2
2535,348,23,-254.2,48.7,154.0,777.0,144,175,72,0,4,2
2331,100,13,-318.7,10.1,95.6,813.7,138,112,169,1,1,2
3187,189,10,-188.9,-5.4,375.7,-545.4,250,193,240,0,1,1
2466,82,10,-20.9,-18.4,-166.7,1358.2,104,234,90,3,0,2
2220,90,26,287.3,-79.7,-2814.7,-256.2,139,47,40,1,0,2
3023,208,3,128.4,25.7,2321.0,1494.6,225,147,165,0,3,1
2186,207,30,-75.9,-0.0,1631.2,147.0,161,97,9,0,1,2
2458,77,40,175.2,-103.2,-2447.5,-588.7,175,8,1,1,5,6
2653,349,19,121.7,29.5,-72.9,34.9,77,214,211,1,0,2
2150,43,0,74.6,-80.4,-234.3,-1958.5,183,127,126,0,0,2
2712,353,44,-178.6,43.2,301.6,856.0,134,94,36,0,3,2
2722,165,30,263.6,-69.6,-111.8,-1331.4,26,201,108,3,3,2
2816,62,17,-198.1,7.6,-487.3,1144.4,220,242,8,2,4,6
2530,215,35,8.6,-32.3,-995.9,-536.0,14,76,163,1,3,2
3239,90,7,-212.3,73.8,-1551.4,856.0,238,42,170,1,5,1
2597,71,2,-162.2,84.6,1117.4,1682.4,234,25,157,1,6,2
2430,316,8,8.5,-78.4,-1894.7,455.7,40,75,93,2,2,5
2754,309,2,115.8,1.5,-5.2,1734.4,59,246,243,2,6,2
2417,183,31,269.9,2.5,1607.4,-1328.4,131,186,2,0,0,2
1630,344,11,-241.9,45.2,-1927.6,-599.0,127,120,172,3,3,3
3094,68,7,-155.4,41.6,-376.9,-228.4,181,174,141,2,1,4
1901,289,29,-399.5,-38.9,1244.8,-243.6,58,48,161,0,4,3
1825,136,17,-64.8,20.5,773.2,2421.1,134,45,121,1,0,3
2745,321,22,-9.4,71.9,-1242.6,863.7,99,22,234,0,1,6
2336,63,24,340.5,98.3,-246.6,-461.9,69,251,248,2,6,6
3043,59,22,-50.2,10.6,1232.1,-372.8,244,24,186,1,5,6
3014,211,6,-144.0,-67.4,442.5,-739.8,9,156,227,3,3,1
3043,244,43,-79.9,-24.3,-927.7,1156.5,205,62,199,0,3,1
2514,131,38,-94.7,43.0,-1380.4,-845.4,167,249,30,0,6,6
2735,124,37,-129.4,-60.0,137.9,1052.7,184,63,35,1,3,2
2103,292,36,22.0,-57.6,968.6,31.8,55,47,81,3,1,2
2893,75,1,340.7,10.0,492.1,-16.1,191,52,218,0,0,2
2566,313,3,173.2,-59.7,-522.5,260.4,103,137,124,0,5,2
2545,223,1,-47.5,-14.4,-2159.0,-497.3,183,24,218,2,2,5
2650,70,26,92.2,-58.2,-934.7,20.0,62,200,147,3,5,2
2622,158,15,96.7,94.3,1461.0,980.2,215,245,152,3,6,2
2760,37,0,-17.8,106.8,846.6,1933.5,25,168,104,3,2,5
2919,194,40,-143.4,17.2,161.7,-1077.9,231,66,173,0,3,2
2559,251,28,-22.7,17.5,851.2,334.5,128,254,223,3,4,2
2408,117,5,219.3,54.9,-3015.7,1561.5,87,224,145,2,0,4
2060,44,34,-114.3,21.7,-2248.3,-582.7,239,217,201,0,3,2
3242,194,27,-170.7,-97.1,1489.3,-939.9,108,41,141,1,0,1
2725,236,20,106.9,-5.6,991.1,-662.0,227,56,144,3,0,2
2443,272,39,59.3,-4.6,404.2,-789.4,242,217,147,1,1,2
1939,43,34,138.0,-40.7,-1473.3,430.2,68,55,16,0,5,3
2789,115,21,2.2,-53.6,-1328.8,-768.2,54,12,77,1,1,2
2052,355,32,-231.6,81.9,1288.2,295.8,121,197,108,1,0,2
2668,144,10,86.5,39.0,-657.2,-1843.9,188,234,61,3,4,2
2404,93,31,52.6,30.6,-3348.8,-583.9,29,94,106,1,3,2
2996,87,19,207.7,-9.9,1409.6,314.0,115,134,28,1,0,2
2380,17,39,67.8,5.5,-490.4,-465.3,150,242,78,3,5,2
2105,248,29,-120.3,18.2,1010.2,-1769.7,51,151,135,1,5,2
1716,221,33,70.1,-17.7,1370.2,13.2,131,93,52,0,2,3
2322,323,37,43.0,-18.5,1178.0,1345.6,171,209,2,3,3,6
3189,270,15,-356.4,18.1,-800.7,-1908.7,246,35,89,3,3,6
2650,249,9,-169.6,98.5,-1822.2,469.6,41,4,58,2,0,4
2375,60,41,-134.8,15.3,876.7,-18.9,189,160,170,0,2,2
2995,191,20,56.5,-57.0,-1450.1,937.9,148,4,62,3,0,2
2282,206,33,-310.1,39.6,1561.7,-488.5,186,205,6,2,3,6
2926,318,38,-314.8,-28.4,-378.5,-650.3,212,180,46,2,4,2
2016,35,37,222.3,-21.0,-171.1,1916.1,61,27,155,0,3,2
2058,167,35,-404.3,30.3,2474.1,-112.9,169,37,181,2,4,2
2872,62,16,-112.8,48.7,-842.4,834.3,27,15,37,0,2,2
1988,203,36,-121.0,3.9,1346.1,-547.4,153,122,222,0,5,3
2955,252,35,-281.1,23.7,-1133.7,-135.6,171,8,244,3,4,6
2518,16,36,56.2,-48.5,-584.8,978.3,146,6,44,3,6,2
3272,228,15,64.9,13.9,-720.6,-1478.3,148,66,56,0,4,1
2297,236,39,237.0,-53.2,-2246.3,-377.9,130,82,11,1,1,2
2418,216,30,222.3,-80.1,-1868.9,1067.6,250,33,215,3,3,6
3151,134,35,-61.8,-36.0,1024.4,738.5,132,218,195,0,3,1
2271,78,20,-239.9,20.1,-620.9,-839.8,64,205,114,0,0,2
2606,8,15,-172.5,-7.5,-1204.0,1085.1,238,28,254,3,6,6
2159,18,40,8.7,-61.9,222.1,-87.2,140,169,103,2,2,2
2907,32,18,113.3,-87.5,-1550.7,-1761.1,192,72,184,2,1,4
2530,178,32,21.5,57.5,199.9,188.4,201,128,49,3,6,2
2106,160,14,36.9,28.3,2655.3,235.3,140,107,160,2,0,4
2549,167,17,21.6,15.4,95.1,-1927.2,244,29,34,0,3,6
2136,67,37,-37.9,33.0,-601.3,772.1,208,8,179,1,4,6
2816,137,36,-238.3,-64.0,38.3,-2800.7,238,215,179,0,1,2
2075,65,19,116.9,69.5,-2152.6,-213.2,227,247,141,2,5,2
3476,191,8,-286.9,-14.8,-1367.7,-90.1,8,39,34,1,6,1
3432,9,8,-247.8,8.7,1327.7,187.2,235,142,119,3,4,7
1803,101,0,17.1,-23.1,1769.3,-1631.8,183,74,149,2,0,4
2715,305,39,-214.7,-53.2,-174.1,141.3,84,189,7,1,6,2
2196,351,33,-89.2,23.2,986.7,156.2,83,1,236,2,2,6
2228,141,27,125.0,1.4,506.2,259.2,204,132,59,0,1,2
2035,211,44,46.5,-55.4,96.5,356.4,12,215,109,0,4,6
3130,273,32,-32.9,45.9,-74.2,-1045.1,177,35,34,3,6,1
1783,348,20,146.8,57.7,239.3,-1168.0,104,215,202,0,4,3
3190,316,7,-126.4,20.1,-414.7,1319.6,89,26,107,0,3,1
1874,97,4,104.8,21.2,-1207.3,184.0,12,15,208,3,1,3
2877,10,33,-197.4,42.9,-1854.2,-923.1,48,94,239,0,1,6
2469,151,29,-116.9,31.4,-1449.3,1457.3,15,84,142,1,2,2
2315,85,43,-11.0,-47.6,1793.2,353.4,182,18,115,3,5,2
2159,219,35,-238.8,101.8,806.3,-663.9,78,185,91,3,3,2
2389,12,25,-10.1,-5.7,758.9,492.7,166,249,151,2,6,2
2658,187,13,-25.7,16.5,93.2,724.3,218,144,94,2,2,2
3155,51,0,-50.9,-77.7,-1260.1,293.9,227,228,131,0,0,1
1804,152,13,-13.9,3.3,1621.2,-2504.9,98,130,95,2,4,3
2660,330,40,-314.2,27.6,171.3,404.8,2,122,35,0,3,2
2461,315,2,-19.3,130.8,1872.9,85.3,124,222,103,3,5,2
2227,38,15,-283.4,-101.6,589.8,708.4,229,137,173,3,3,2
2472,308,15,-300.5,-58.6,178.0,-541.6,117,239,205,2,3,2
2519,155,29,-7.4,87.6,1553.6,1443.1,146,147,103,0,5,2
2182,84,33,-69.7,33.9,1132.7,512.4,67,7,207,1,6,6
2325,189,29,199.8,-85.5,-1498.0,638.4,151,139,61,0,3,2
2649,7,1,-326.4,34.0,-2739.5,-176.6,106,207,46,0,3,2
2348,44,20,-33.9,-54.6,-740.0,744.1,52,229,73,3,3,2
2689,140,12,204.0,17.2,-1400.3,-394.9,86,185,47,2,6,2
2177,71,36,5.9,41.2,-1662.4,-629.1,170,13,98,0,1,2
2633,245,39,272.3,41.6,512.0,823.2,246,232,99,0,4,2
2718,70,44,-134.2,-28.0,1900.4,249.5,138,246,54,0,5,2
2705,155,24,-171.2,-18.1,905.1,1486.1,240,198,35,2,1,4
2644,200,28,-125.4,20.1,-2621.7,63.2,230,47,50,2,3,6
2550,119,33,-141.5,-21.8,-500.1,973.2,71,115,48,0,6,2
2457,209,3,40.0,9.8,657.8,-118.8,201,189,15,2,2,5
2278,249,43,-12.1,7.1,-404.4,777.0,140,150,246,3,1,2
2288,9,31,-76.1,-43.4,764.0,1355.7,128,47,149,0,3,2
2583,45,6,-112.8,-17.1,-290.6,209.0,64,208,243,3,2,2
1953,323,23,-211.1,-43.0,-741.9,728.8,130,101,254,3,6,3
3174,279,11,229.4,-50.7,-640.4,-1259.1,157,44,177,1,1,1
1996,306,3,92.9,6.3,1635.0,1047.1,0,38,154,2,5,3
2483,290,29,103.9,-29.1,42.2,226.2,36,24,229,1,1,6
3034,123,40,62.8,29.6,-133.9,1551.4,41,67,187,3,1,1
3221,349,13,175.0,-53.0,-94.0,572.5,194,57,189,0,3,1
2813,237,25,219.2,82.3,-23.7,-1150.5,134,191,176,1,5,2
2585,236,20,84.5,-14.3,1821.0,949.9,131,189,70,3,2,2
2003,259,11,63.9,53.9,349.0,-798.4,63,0,197,0,6,6
2714,42,9,5.8,-8.3,-2803.5,-457.7,137,196,219,2,2,5
2438,251,6,183.0,-52.6,-2335.0,-895.3,53,192,4,1,5,2
2008,13,34,-234.6,13.3,-1701.8,1370.5,1,215,249,2,0,4
2433,175,37,-319.2,25.7,1581.6,-1130.4,227,78,107,3,6,2
2967,137,37,-110.0,0.4,-1827.2,-979.3,117,242,217,3,2,2
2810,68,28,-202.3,125.1,1042.6,1098.8,223,147,146,1,3,2
2737,291,0,-141.4,-13.8,260.8,-1183.4,50,125,236,1,4,2
2918,165,37,-22.0,-0.4,597.0,1471.4,164,141,198,1,6,2
2791,5,40,-109.8,76.8,-376.4,2036.3,1,174,192,3,6,6
2717,279,19,-113.9,39.3,502.8,-1653.5,156,138,127,1,5,2
2486,227,22,-263.5,-49.7,-693.9,-1379.0,127,109,250,2,0,4
2638,105,43,361.1,-92.3,5.0,-1127.5,140,207,169,3,5,2
2415,149,8,-168.5,-38.5,3079.7,2080.7,15,154,229,0,5,2
2335,86,36,88.2,46.0,-1658.8,-787.2,225,172,254,1,6,2
2253,117,28,533.7,116.2,-428.3,-560.1,59,95,172,2,1,4
3216,175,9,258.2,50.0,2405.8,294.3,91,9,90,2,3,1
2810,275,36,-103.9,-31.8,-2773.7,-1252.2,105,200,93,2,6,2
2899,51,4,-297.8,-46.6,-1438.7,-790.2,141,182,244,3,6,2
2581,4,43,-79.8,24.4,2033.8,-865.7,98,247,28,1,3,6
2672,262,44,-290.2,-0.0,70.0,-667.0,76,34,122,3,3,2
2308,301,39,167.9,-8.9,-2288.0,-44.5,149,37,96,3,3,2
2347,124,34,9.1,16.1,-1448.8,-1992.1,193,190,85,0,5,2
2930,316,40,236.1,-25.3,1473.4,-1212.5,46,100,94,2,1,4
3304,92,20,268.6,56.9,274.1,2369.4,224,215,75,1,1,1
1825,338,13,247.6,-31.2,1030.6,-443.8,149,3,115,0,6,3
2255,247,0,-24.9,-4.4,-1762.1,8.5,103,4,83,1,1,5
2229,181,35,-56.3,-16.1,-3401.2,1097.2,240,75,13,3,4,6
2052,347,19,-191.3,83.8,-1362.7,208.0,109,28,100,0,1,2
2285,347,1,202.5,-18.0,1548.0,486.3,77,67,249,3,0,2
2314,301,11,-32.5,-14.7,-930.1,955.4,132,73,30,1,3,2
2078,316,30,534.1,-2.0,-898.3,-1617.6,81,129,108,3,5,2
2626,39,23,38.3,84.9,-261.7,-144.0,13,207,64,3,2,6
1848,310,26,381.0,4.4,376.0,677.7,85,15,119,0,4,3
3042,257,19,-179.7,-36.2,665.0,-140.9,129,86,49,1,1,1
2796,190,37,-59.0,4.5,-1110.9,-1139.4,217,185,76,2,1,4
2348,354,3,172.8,38.9,-510.4,1386.3,251,193,197,0,5,2
2095,272,37,-384.0,73.2,-421.4,1141.8,181,66,131,3,6,2
2119,144,28,140.3,104.1,3469.7,-1716.5,121,225,80,2,5,2
2525,34,39,125.1,-20.0,-989.1,221.1,188,243,233,0,5,2
3147,345,2,153.5,-1.4,-393.6,-1160.3,248,14,130,1,5,1
2969,298,27,270.0,-119.0,-1431.2,764.0,123,7,56,3,5,2
2880,133,7,-225.7,29.3,-1220.4,1042.2,168,183,172,1,0,2
2090,273,23,98.1,1.7,-740.7,900.9,2,41,163,0,4,2
2488,87,6,129.7,9.0,1757.9,-1060.8,162,29,219,3,6,2
2794,333,21,-256.4,-57.0,-526.1,1208.9,43,15,78,3,2,2
2672,157,6,-133.2,-131.9,-2062.3,376.2,19,249,32,0,6,2
2657,317,21,124.3,57.1,-1868.1,-855.6,123,232,38,3,5,2
2461,148,13,-97.6,-49.3,3068.0,-481.3,201,226,194,3,3,2
2386,354,26,363.2,-27.5,-3491.1,2076.9,230,41,51,0,5,6
2510,72,20,-140.6,-39.7,-919.5,-235.3,191,171,94,2,2,2
2611,24,24,-56.5,69.2,1469.6,-1383.2,143,145,5,0,6,2
2517,277,27,51.6,-25.0,-212.3,330.1,238,216,162,0,5,2
2975,295,16,-136.5,-37.1,1526.2,-1522.0,72,160,179,0,3,2
2270,204,14,-53.0,28.8,236.2,1711.7,226,112,119,3,4,2
3364,284,12,-104.9,94.7,-1463.5,-174.2,231,41,30,2,0,4
2753,169,1,400.9,46.7,-112.5,1601.1,126,44,236,3,2,2
2489,210,32,-72.5,-23.5,2657.8,1263.5,182,62,225,0,5,2
2907,178,29,-1.3,-5.6,-446.8,1376.8,24,40,97,3,4,2
2756,167,37,322.3,-151.8,997.8,-901.5,135,5,194,1,3,2
1901,262,19,-164.5,-25.0,2384.8,321.8,28,45,254,0,5,6
2421,70,33,-68.5,-27.4,933.4,22.5,64,229,162,1,1,2
3029,223,33,-90.5,21.4,-2112.0,509.3,34,190,8,1,5,6
2632,47,29,-308.3,-39.6,-744.4,1040.0,31,85,126,2,5,2
3135,158,32,-385.2,20.6,3387.5,-684.2,182,148,95,0,4,1
2317,349,12,320.2,-8.4,831.7,-28.1,175,170,53,1,3,2
2554,93,37,-342.1,-51.9,209.7,2174.7,75,126,97,0,5,2
2370,261,21,220.1,-86.2,-292.7,2606.3,26,132,36,1,3,2
2557,191,12,-16.0,-66.2,-1311.6,683.1,148,17,224,3,0,6
2286,260,14,22.1,32.8,-1600.0,296.9,202,229,207,3,4,2
2276,323,24,196.5,14.0,587.6,2897.4,193,68,170,1,0,2
2994,188,32,220.1,-53.7,1020.7,-1235.9,115,74,215,3,0,2
2114,142,2,-7.7,-104.5,-188.4,-1717.5,231,124,244,3,3,5
2421,293,4,200.6,-15.9,-1141.1,-738.3,157,84,94,1,1,2
2918,257,36,51.2,-56.3,-393.7,1785.1,143,87,48,3,5,2
3343,79,8,-54.5,46.1,-420.8,1185.6,64,240,101,1,1,5
3185,281,10,164.0,-12.7,3867.1,-734.6,152,83,49,2,5,1
2877,240,32,379.7,-48.5,21.7,-795.5,216,148,126,1,3,2
2454,94,37,-36.0,29.3,1096.9,-173.0,156,106,91,1,0,2
2565,32,12,334.9,-39.8,117.3,-1536.3,17,244,67,1,2,6
2903,64,12,498.5,-46.8,1927.5,30.3,69,173,207,1,2,2
2541,13,36,481.3,-21.4,-354.9,104.9,10,96,191,1,2,2
1872,89,6,-99.8,78.7,-1806.5,-1557.6,48,202,72,3,3,3
2580,270,19,-19.1,52.3,-217.1,277.9,40,140,18,1,6,2
2427,322,26,-163.0,111.4,304.5,1266.5,188,226,249,2,1,4
1464,196,19,-69.5,-81.0,-839.8,927.3,220,45,211,1,3,6
2483,265,32,162.2,-65.3,-368.6,15.0,136,129,1,3,2,2
2321,319,2,87.0,50.3,531.6,58.7,234,8,90,2,5,2
2679,71,5,-206.8,50.7,-559.2,-340.8,50,91,89,2,6,2
2574,70,29,-175.6,52.8,927.8,-129.3,99,246,106,0,1,2
3047,100,8,-388.6,-50.2,4180.9,1044.2,140,47,158,1,1,1
3021,43,1,190.6,63.7,-115.0,-781.2,56,178,35,1,0,1
2353,255,37,-131.3,1.1,1092.7,779.8,71,249,158,2,5,2
2000,23,4,15.5,25.6,-208.7,971.5,55,110,119,3,5,5
2526,235,21,-439.1,-29.5,-276.0,297.5,108,7,156,1,1,2
3105,212,36,-134.3,-7.8,2373.7,839.0,249,37,190,3,4,6
2529,325,30,25.6,41.7,-461.3,-70.2,244,219,178,2,5,2
2579,332,36,-32.9,4.6,-1975.8,226.2,58,210,17,2,3,6
2721,239,11,194.0,-15.1,-544.9,1094.5,191,61,182,3,6,2
2473,343,2,165.4,-16.1,-2489.0,-747.3,67,177,61,2,3,2
2452,89,7,13.1,-13.3,-1012.1,-758.0,193,109,16,3,3,5
2474,250,41,-78.3,-8.5,-778.0,352.9,98,223,39,1,6,2
2493,162,3,-83.8,7.7,105.6,651.2,7,211,14,2,6,2
2048,85,15,-355.7,85.7,703.4,-44.2,199,108,59,1,6,2
3189,49,16,-115.4,16.5,-1596.3,-1682.7,169,136,159,1,0,1
2129,294,40,-64.5,-34.1,-260.8,-1029.6,44,47,113,2,0,4
2923,248,31,-133.7,-45.7,-2514.6,-1815.8,66,46,112,1,5,2
2198,30,20,-121.8,-32.5,319.1,-1432.1,76,237,4,0,3,6
2929,23,41,108.0,15.9,103.5,-760.0,53,71,93,0,2,2
2593,60,10,-76.1,8.1,-3283.1,693.6,219,104,126,1,1,2
2732,195,33,12.3,34.8,-3144.2,-175.5,29,187,224,1,0,6
3296,152,35,-221.3,-19.0,-1052.6,-228.4,253,51,40,0,6,6
2731,54,13,373.9,-13.1,-1097.0,-336.2,90,91,66,2,2,2
2234,154,33,61.1,-82.9,-1543.6,-356.1,117,235,175,1,0,2
2275,117,11,103.3,-20.8,569.4,446.7,215,34,135,3,2,2
1875,224,42,129.6,-70.4,187.3,918.0,88,112,65,0,1,3
1983,349,29,-5.5,29.0,613.5,-817.2,56,160,67,3,1,3
2150,17,32,226.4,-11.9,-1818.6,851.0,175,29,187,2,5,2
2832,180,2,-277.6,-45.4,981.8,766.2,85,113,79,0,0,2
2349,252,13,19.5,43.5,2056.8,927.0,52,27,30,3,1,2
2759,79,13,-88.9,-3.0,-335.4,-1125.9,72,141,113,2,4,2
2207,232,10,-32.0,19.3,1404.0,-1206.6,79,38,20,3,6,2
2108,91,28,-6.7,-64.2,453.2,930.2,172,93,89,0,4,2
2325,78,1,-259.8,-6.9,-1651.9,-251.1,242,190,190,0,3,2
2198,245,14,-60.2,1.9,-1003.5,-867.8,213,137,161,2,1,4
2489,213,35,-78.2,40.3,492.2,2269.3,85,158,107,3,3,2
3344,43,35,29.2,-34.9,-63.4,-2751.1,191,198,150,0,2,1
2566,210,9,161.2,-81.9,-1484.1,-1067.9,80,69,145,0,4,2
2879,18,35,-40.4,-7.6,806.7,-582.8,227,82,192,3,3,2
2575,164,35,-225.3,-90.6,-258.8,2093.5,88,55,13,3,0,2
2093,226,7,-19.3,-25.6,-1485.9,562.3,148,28,98,2,1,4
2049,47,9,-66.2,45.3,8.8,961.0,90,223,85,0,1,2
2845,185,25,-8.0,57.4,496.3,-1953.0,155,89,39,3,4,2
2424,345,20,-262.1,64.1,-440.8,389.9,248,0,201,2,2,6
2704,163,26,50.6,56.3,2451.3,127.5,127,154,224,2,6,2
2209,183,39,536.8,113.6,1052.6,-1707.9,142,29,17,3,5,2
1941,117,0,216.6,94.8,-1020.1,2963.6,126,152,46,2,0,4
2663,275,9,234.7,54.4,-2418.7,730.3,103,200,165,3,6,2
2485,232,24,-55.0,53.6,-1033.2,17.0,23,247,219,3,3,6
1931,42,14,305.8,-5.7,991.9,-757.3,50,188,202,2,5,3
2699,172,16,-28.7,76.9,-2972.0,-121.3,104,200,97,0,6,2
3046,149,6,82.2,31.7,2189.7,564.2,183,55,18,0,0,1
2459,69,16,-82.6,41.9,1056.8,157.7,25,204,85,0,5,2
2574,320,36,-34.6,45.5,-3912.0,-1596.2,80,216,15,1,5,6
2316,242,35,-182.5,-10.0,-1327.2,-430.1,207,7,240,2,5,6
2355,28,18,74.4,35.0,1137.4,-1763.6,120,149,43,3,3,2
2668,79,5,-290.7,-40.4,1702.6,1815.5,72,187,125,0,4,2
2967,100,23,-147.6,51.3,-1360.8,857.0,44,167,71,3,2,2
2433,294,14,265.6,67.1,-1404.7,-133.6,63,104,1,0,3,2
2348,271,12,246.2,-12.4,-76.1,486.7,4,250,143,1,2,6
2157,312,44,-55.0,-29.6,1467.8,1099.9,1,13,33,0,5,2
2564,125,19,-181.1,-81.4,634.9,-1735.2,131,133,91,2,2,2
2731,118,9,23.4,29.1,209.1,818.5,18,203,82,3,5,5
2403,158,35,34.3,3.6,1228.8,-162.7,103,25,46,0,0,2
1990,304,42,323.5,-84.4,1332.2,545.2,105,23,47,3,2,3
2892,88,3,-94.4,51.8,571.2,-1254.8,178,188,123,0,6,2
2774,6,26,170.0,-56.9,-1257.7,454.0,212,174,122,3,1,2
2222,236,27,81.3,-72.1,-897.2,243.0,218,139,133,0,0,2
